,FPR,TNR,TPR,FNR
103,0.0,1.0,0.5384615384615384,0.46153846153846156
104,0.0,1.0,0.5428571428571428,0.45714285714285713
105,0.0,1.0,0.5471698113207547,0.4528301886792453
106,0.0,1.0,0.5514018691588785,0.4485981308411215
107,0.0,1.0,0.5555555555555556,0.4444444444444444
108,0.0,1.0,0.5596330275229358,0.44036697247706424
109,0.0,1.0,0.5636363636363636,0.43636363636363634
110,0.0,1.0,0.5675675675675675,0.43243243243243246
111,0.0,1.0,0.5714285714285714,0.42857142857142855
112,0.0,1.0,0.5752212389380531,0.4247787610619469
113,0.0,1.0,0.5789473684210527,0.42105263157894735
114,0.0,1.0,0.5826086956521739,0.41739130434782606
115,0.0,1.0,0.5862068965517241,0.41379310344827586
116,0.0,1.0,0.5897435897435898,0.41025641025641024
117,0.0,1.0,0.5932203389830508,0.4067796610169492
118,0.0,1.0,0.5966386554621849,0.40336134453781514
119,0.0,1.0,0.6,0.4
120,0.0,1.0,0.6033057851239669,0.39669421487603307
121,0.0,1.0,0.6065573770491803,0.39344262295081966
122,0.0,1.0,0.6097560975609756,0.3902439024390244
123,0.0,1.0,0.6129032258064516,0.3870967741935484
124,0.0,1.0,0.616,0.384
125,0.0,1.0,0.6190476190476191,0.38095238095238093
126,0.0,1.0,0.6220472440944882,0.3779527559055118
127,0.0,1.0,0.625,0.375
128,0.0,1.0,0.627906976744186,0.37209302325581395
129,0.0,1.0,0.6307692307692307,0.36923076923076925
130,0.0,1.0,0.6335877862595419,0.366412213740458
131,0.0,1.0,0.6363636363636364,0.36363636363636365
132,0.0,1.0,0.6390977443609023,0.3609022556390977
133,0.0,1.0,0.6417910447761194,0.3582089552238806
134,0.0,1.0,0.6444444444444445,0.35555555555555557
135,0.0,1.0,0.6470588235294118,0.35294117647058826
136,0.0,1.0,0.6496350364963503,0.35036496350364965
137,0.0,1.0,0.6521739130434783,0.34782608695652173
138,0.0,1.0,0.6546762589928058,0.34532374100719426
139,0.0,1.0,0.6571428571428571,0.34285714285714286
140,0.0,1.0,0.6595744680851063,0.3404255319148936
141,0.0,1.0,0.6619718309859155,0.3380281690140845
142,0.0,1.0,0.6643356643356644,0.3356643356643357
143,0.0,1.0,0.6666666666666666,0.3333333333333333
144,0.0,1.0,0.6689655172413793,0.3310344827586207
145,0.0,1.0,0.6712328767123288,0.3287671232876712
146,0.0,1.0,0.673469387755102,0.32653061224489793
147,0.0,1.0,0.6756756756756757,0.32432432432432434
148,0.0,1.0,0.6778523489932886,0.3221476510067114
149,0.0,1.0,0.68,0.32
150,0.0,1.0,0.6821192052980133,0.31788079470198677
151,0.0,1.0,0.6842105263157895,0.3157894736842105
152,0.0,1.0,0.6862745098039216,0.3137254901960784
153,0.0,1.0,0.6883116883116883,0.3116883116883117
154,0.0,1.0,0.6903225806451613,0.3096774193548387
155,0.0,1.0,0.6923076923076923,0.3076923076923077
156,0.0,1.0,0.6942675159235668,0.3057324840764331
157,0.0,1.0,0.6962025316455697,0.3037974683544304
158,0.0,1.0,0.6981132075471698,0.3018867924528302
159,0.0,1.0,0.7,0.3
160,0.0,1.0,0.7018633540372671,0.2981366459627329
161,0.0,1.0,0.7037037037037037,0.2962962962962963
162,0.0,1.0,0.7055214723926381,0.294478527607362
163,0.0,1.0,0.7073170731707317,0.2926829268292683
164,0.0,1.0,0.7090909090909091,0.2909090909090909
165,0.0,1.0,0.7108433734939759,0.2891566265060241
166,0.0,1.0,0.7125748502994012,0.2874251497005988
167,0.0,1.0,0.7142857142857143,0.2857142857142857
168,0.0,1.0,0.7159763313609467,0.28402366863905326
169,0.0,1.0,0.7176470588235294,0.2823529411764706
170,0.0,1.0,0.7192982456140351,0.2807017543859649
171,0.0,1.0,0.7209302325581395,0.27906976744186046
172,0.0,1.0,0.7225433526011561,0.2774566473988439
173,0.0,1.0,0.7241379310344828,0.27586206896551724
174,0.0,1.0,0.7257142857142858,0.2742857142857143
175,0.0,1.0,0.7272727272727273,0.2727272727272727
176,0.0,1.0,0.7288135593220338,0.2711864406779661
177,0.0,1.0,0.7303370786516854,0.2696629213483146
178,0.0,1.0,0.7318435754189944,0.2681564245810056
179,0.0,1.0,0.7333333333333333,0.26666666666666666
180,0.0,1.0,0.7348066298342542,0.26519337016574585
181,0.0,1.0,0.7362637362637363,0.26373626373626374
182,0.0,1.0,0.7377049180327869,0.26229508196721313
183,0.0,1.0,0.7391304347826086,0.2608695652173913
184,0.0,1.0,0.7405405405405405,0.2594594594594595
185,0.0,1.0,0.7419354838709677,0.25806451612903225
186,0.0,1.0,0.7433155080213903,0.25668449197860965
187,0.0,1.0,0.7446808510638298,0.2553191489361702
188,0.0,1.0,0.746031746031746,0.25396825396825395
189,0.0,1.0,0.7473684210526316,0.25263157894736843
190,0.0,1.0,0.7486910994764397,0.2513089005235602
191,0.0,1.0,0.75,0.25
192,0.0,1.0,0.7512953367875648,0.24870466321243523
193,0.0,1.0,0.7525773195876289,0.24742268041237114
194,0.0,1.0,0.7538461538461538,0.24615384615384617
195,0.0,1.0,0.7551020408163265,0.24489795918367346
196,0.0,1.0,0.7563451776649747,0.2436548223350254
197,0.0,1.0,0.7575757575757576,0.24242424242424243
198,0.0,1.0,0.7587939698492462,0.24120603015075376
199,0.0,1.0,0.76,0.24
